index,timestamp,participant,target_type,target_id,target_name,render_index,description,presentation_number,target_presentations
179,2026-09-03 20:30:19,Junhyun,individual_part,Row4_Screws.stl,SCREW_ROW4,23,screw from right side of row 4,1,1
180,2026-09-03 20:30:37,Junhyun,individual_part,Handle.stl,CRANK_HANDLE_ROW1,24,gear handle from row 1,1,1
181,2026-09-03 20:30:46,Junhyun,individual_part,BaseBoard.stl,BASE_BOARD,25,base board,1,1
182,2026-09-03 20:31:11,Junhyun,individual_part,WoodenPin.stl,PIN,26,wooden pin from right side of row 3,1,1
183,2026-09-04 10:10:16,Mann,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,1,white gearstand on the left,1,1
184,2026-09-04 10:10:34,Mann,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,2,white gearstand on the right,1,1
185,2026-09-04 10:10:46,Mann,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,3,red gearstand on the left,1,1
186,2026-09-04 10:11:05,Mann,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,4,red gearstand on the right,1,1
187,2026-09-04 10:11:32,Mann,individual_part,Row3_GearStand_Left.stl,STAND_ROW3_LEFT,5,green gearstand on the left,1,1
188,2026-09-04 10:11:44,Mann,individual_part,Row3_GearStand_Right.stl,STAND_ROW3_RIGHT,6,green gearstand on the right,1,1
189,2026-09-04 10:12:04,Mann,individual_part,Row4_GearStand_Left.stl,STAND_ROW4_LEFT,7,blue gearstand on the left,1,1
190,2026-09-04 10:12:14,Mann,individual_part,Row4_GearStand_Right.stl,STAND_ROW4_RIGHT,8,blue gearstand on the right,1,1
191,2026-09-04 10:12:27,Mann,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,9,white shaft,1,1
192,2026-09-04 10:12:33,Mann,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,10,red shaft,1,1
193,2026-09-04 10:12:39,Mann,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,11,green shaft,1,1
194,2026-09-04 10:12:45,Mann,individual_part,Row4_GearRod.stl,GEAR_ROD_ROW4,12,blue shaft,1,1
195,2026-09-04 10:13:21,Mann,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,13,white gear,1,1
196,2026-09-04 10:13:47,Mann,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,14,left red gear,1,1
197,2026-09-04 10:13:52,Mann,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,15,right red gear,1,1
198,2026-09-04 10:14:00,Mann,individual_part,Row3_Gear_Left.stl,GEAR_ROW3_LEFT,16,left green gear,1,1
199,2026-09-04 10:14:06,Mann,individual_part,Row3_Gear_Right.stl,GEAR_ROW3_RIGHT,17,right green gear,1,1
200,2026-09-04 10:14:19,Mann,individual_part,Row4_Gear_Left.stl,GEAR_ROW4_LEFT,18,left blue gear,1,1
201,2026-09-04 10:14:52,Mann,individual_part,Bearing.stl,BEARING,19,bearing for the left green gear stand,1,1
202,2026-09-04 10:15:28,Mann,individual_part,Row1_Screws.stl,SCREW_ROW1,20,left silver screw for Row 1,1,1
203,2026-09-04 10:15:43,Mann,individual_part,Row2_Screws.stl,SCREW_ROW2,21,left screw for Row 2,1,1
204,2026-09-04 10:15:56,Mann,individual_part,Row3_Screws.stl,SCREW_ROW3,22,right screw for Row 3,1,1
205,2026-09-04 10:16:19,Mann,individual_part,Row4_Screws.stl,SCREW_ROW4,23,right screw for Row 4,1,1
206,2026-09-04 10:16:50,Mann,individual_part,Handle.stl,CRANK_HANDLE_ROW1,24,white right handle,1,1
207,2026-09-04 10:16:59,Mann,individual_part,BaseBoard.stl,BASE_BOARD,25,black bottom board,1,1
208,2026-09-04 10:17:17,Mann,individual_part,WoodenPin.stl,PIN,26,right wooden pin for green,1,1
209,2026-09-04 13:08:53,Kuber,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,1,a white gearstand on the left,1,1
210,2026-09-04 13:09:14,Kuber,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,2,row 1 right gear stand,1,1
211,2026-09-04 13:09:27,Kuber,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,3,row 2 left gear stand,1,1
212,2026-09-04 13:09:36,Kuber,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,4,red gear stand on the right,1,1
213,2026-09-04 13:09:47,Kuber,individual_part,Row3_GearStand_Left.stl,STAND_ROW3_LEFT,5,green gear stand on the left,1,1
214,2026-09-04 13:10:04,Kuber,individual_part,Row3_GearStand_Right.stl,STAND_ROW3_RIGHT,6,right gear stand in row 3,1,1
215,2026-09-04 13:10:13,Kuber,individual_part,Row4_GearStand_Left.stl,STAND_ROW4_LEFT,7,left blue gear stand,1,1
