index,timestamp,participant,target_type,target_id,target_name,render_index,description,referring_type,traits_used,presentation_number,target_presentations,Verified
24,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the crank attached at the right end of the white gear rod,relationship,color|spatial|relationship,4,10,o
25,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the white handle beside the right stand in circle-marked Row 1,mixed,color|spatial|relationship,5,10,o
26,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the hand-operated lever used to rotate the assembled gear train,function,function|relationship,6,10,o
27,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,the bent white crank connected to the end of the Row 1 shaft,mixed,color|shape|spatial|relationship,7,10,o
28,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,white handle,mixed,color|technical_name,8,10,o
29,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,Row 1 crank,mixed,spatial|technical_name,9,10,o
30,,SYNTHETIC_GENERATED,individual_part,Handle.stl,CRANK_HANDLE_ROW1,3,right-side crank,mixed,spatial|technical_name,10,10,o
31,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the Row 1 gear shaft,technical_name,technical_name,1,12,o
32,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the long white cylindrical shaft with two pin holes,shape,size|color|shape,2,12,o
33,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the shaft crossing Row 1 between the two white brackets,spatial,color|spatial|relationship,3,12,o
34,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the shaft that passes through both Row 1 bearings and carries one large gear,relationship,relationship|function,4,12,o
35,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the long white circle-row gear shaft seated in both bearing brackets,mixed,size|color|shape|relationship,5,12,o
36,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the Row 1 shaft that carries one large gear and transfers rotation between the two stands,function,function|relationship,6,12,o
37,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,the long white cylindrical rod with two retaining-pin holes spanning Row 1,mixed,size|color|shape|spatial,7,12,o
38,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,white gear rod,mixed,color|technical_name,8,12,o
39,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,Row 1 shaft,mixed,spatial|technical_name,9,12,o
40,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,gear rod of Row 1,mixed,spatial|technical_name,10,12,o
41,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,white gear rod in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
42,,SYNTHETIC_GENERATED,individual_part,Row1_GearRod.stl,GEAR_ROD_ROW1,4,circle-row white shaft,mixed,color|shape|spatial|technical_name,12,12,o
43,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,the Row 1 left gear stand,technical_name,technical_name,1,12,o
44,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,the upright white left stand with a circular bearing opening,shape,color|shape|spatial,2,12,o
45,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,the left bearing support bracket in Row 1,spatial,spatial,3,12,o
46,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,"the Row 1 support bracket where the left bearing fits, next to the large left gear",relationship,spatial|relationship,4,12,o
47,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,the white circle-row left gear stand supporting the gear shaft,mixed,color|shape|spatial|relationship|function,5,12,o
48,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,the left Row 1 support that holds a bearing and supports the gear shaft,function,spatial|function|relationship,6,12,o
49,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,"the upright white bearing bracket on the left, beside the large left gear in the circle-marked row",mixed,color|shape|spatial|relationship,7,12,o
50,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,white left stand,mixed,color|spatial|technical_name,8,12,o
51,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,Row 1 left bracket,mixed,spatial|technical_name,9,12,o
52,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,left gear stand of Row 1,mixed,spatial|technical_name,10,12,o
53,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,white left gear stand in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
54,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Left.stl,STAND_ROW1_LEFT,5,left bracket of the white circle row,mixed,color|shape|spatial|technical_name,12,12,o
55,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the Row 1 right gear stand,technical_name,technical_name|spatial,1,12,o
56,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the upright white stand with an overlapping bearing slot and through-hole,shape,color|shape,2,12,o
57,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the right-hand support in circle-marked Row 1,spatial,spatial,3,12,o
58,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the stand immediately to the left of the crank handle,relationship,spatial|relationship,4,12,o
59,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the white right bearing bracket whose bearing recess overlaps a hole through the stand,mixed,color|shape|spatial|relationship,5,12,o
60,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the right Row 1 support that holds the bearing and guides the gear shaft,function,spatial|function|relationship,6,12,o
61,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,the white crank-side gear stand with both a bearing slot and a penetrating hole,mixed,color|shape|spatial|relationship,7,12,o
62,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,white right stand,mixed,color|spatial|technical_name,8,12,o
63,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,Row 1 right bracket,mixed,spatial|technical_name,9,12,o
64,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,right gear stand of Row 1,mixed,spatial|technical_name,10,12,o
65,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,white right gear stand in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
66,,SYNTHETIC_GENERATED,individual_part,Row1_GearStand_Right.stl,STAND_ROW1_RIGHT,6,right bracket of the white circle row,mixed,color|shape|spatial|technical_name,12,12,o
67,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,the Row 1 left spur gear,technical_name,technical_name,1,12,o
68,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,the large white spur wheel,size,size|color|shape,2,12,o
69,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,the left-side gear on the shaft in Row 1,spatial,spatial|relationship,3,12,o
70,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,"the Row 1 gear next to the left white bracket, the only gear in Row 1",relationship,color|spatial|size|relationship,4,12,o
71,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,the large white spur gear on the left side of the circle-marked shaft,mixed,size|color|shape|spatial,5,12,o
72,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,the Row 1 spur gear that transmits rotation along the gear train,function,technical_name|function|relationship,6,12,o
73,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,"the large white toothed wheel on the left side, beside the gear shaft",mixed,size|color|shape|spatial|relationship,7,12,o
74,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,gear of Row 1,mixed,spatial|technical_name,8,12,o
75,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,white gear,mixed,color|technical_name,9,12,o
76,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,Row 1 gear,mixed,spatial|technical_name,10,12,o
77,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,white gear in the circle row,mixed,color|shape|spatial|technical_name,11,12,o
78,,SYNTHETIC_GENERATED,individual_part,Row1_Gear_Left.stl,GEAR_ROW1_LEFT,7,circle-row white gear,mixed,color|shape|spatial|technical_name,12,12,o
79,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,a Row 1 H5 hex-socket mounting screw,technical_name,technical_name,1,9,o
80,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,a small silver screw with a recessed H5 hex-socket head,color,size|color|shape|technical_name,2,9,o
81,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,a screw at the base of a Row 1 gear stand,spatial,spatial|relationship,3,9,o
82,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,a fastener used to secure a Row 1 bearing stand to the baseboard,relationship,relationship|function,4,9,o
83,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,the silver H5 hex-socket screw for the white Row 1 stand,mixed,color|spatial|technical_name|relationship,5,9,o
84,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,the Row 1 fastener tightened with a 5 mm hex key,function,technical_name|function,6,9,o
85,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,the small silver screw located at the foot of a white support bracket,mixed,size|color|shape|spatial|relationship,7,9,o
86,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,Row 1 screw,mixed,spatial|technical_name,8,9,o
87,,SYNTHETIC_GENERATED,individual_part,Row1_Screws.stl,SCREW_ROW1,8,H5 screw,technical_name,technical_name,9,9,o
88,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the Row 2 gear shaft,technical_name,technical_name,1,12,o
89,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the long red cylindrical shaft with two pin holes,shape,size|color|shape,2,12,o
90,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the shaft crossing Row 2 between the two red brackets,spatial,color|spatial|relationship,3,12,o
91,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the shaft that passes through both Row 2 bearings and carries the small and medium gears,relationship,relationship|function,4,12,o
92,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the long red triangle-row gear shaft seated in both bearing brackets,mixed,size|color|shape|relationship,5,12,o
93,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the Row 2 shaft that carries the small and medium gears and transfers rotation between the two stands,function,function|relationship,6,12,o
94,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,the long red cylindrical rod with two retaining-pin holes spanning the second row from Row 1,mixed,size|color|shape|spatial,7,12,o
95,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,red gear rod,mixed,color|technical_name,8,12,o
96,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,Row 2 shaft,mixed,spatial|technical_name,9,12,o
97,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,gear rod of Row 2,mixed,spatial|technical_name,10,12,o
98,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,red gear rod in the triangle row,mixed,color|shape|spatial|technical_name,11,12,o
99,,SYNTHETIC_GENERATED,individual_part,Row2_GearRod.stl,GEAR_ROD_ROW2,9,triangle-row red shaft,mixed,color|shape|spatial|technical_name,12,12,o
100,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,the Row 2 left gear stand,technical_name,technical_name,1,12,o
101,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,the upright red left stand with a circular bearing opening,shape,color|shape|spatial,2,12,o
102,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,the left bearing support bracket in the second row from Row 1,spatial,spatial,3,12,o
103,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,"the Row 2 support bracket where the left bearing fits, next to the small left gear",relationship,spatial|relationship,4,12,o
104,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,the red triangle-row left gear stand supporting the gear shaft,mixed,color|shape|spatial|relationship|function,5,12,o
105,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,the left Row 2 support that holds a bearing and supports the gear shaft,function,spatial|function|relationship,6,12,o
106,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,"the upright red bearing bracket on the left, beside the small left gear in the triangle-marked row",mixed,color|shape|spatial|relationship,7,12,o
107,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,red left stand,mixed,color|spatial|technical_name,8,12,o
108,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,Row 2 left bracket,mixed,spatial|technical_name,9,12,o
109,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,left gear stand of Row 2,mixed,spatial|technical_name,10,12,o
110,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,red left gear stand in the triangle row,mixed,color|shape|spatial|technical_name,11,12,o
111,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Left.stl,STAND_ROW2_LEFT,10,left bracket of the red triangle row,mixed,color|shape|spatial|technical_name,12,12,o
112,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,the Row 2 right gear stand,technical_name,technical_name,1,12,o
113,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,the upright red right stand with a circular bearing opening,shape,color|shape|spatial,2,12,o
114,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,the right bearing support bracket in the second row from Row 1,spatial,spatial,3,12,o
115,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,"the Row 2 support bracket where the right bearing fits, next to the medium right gear",relationship,spatial|relationship,4,12,o
116,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,the red triangle-row right gear stand supporting the gear shaft,mixed,color|shape|spatial|relationship|function,5,12,o
117,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,the right Row 2 support that holds a bearing and supports the gear shaft,function,spatial|function|relationship,6,12,o
118,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,"the upright red bearing bracket on the right, beside the medium right gear in the triangle-marked row",mixed,color|shape|spatial|relationship,7,12,o
119,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,red right stand,mixed,color|spatial|technical_name,8,12,o
120,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,Row 2 right bracket,mixed,spatial|technical_name,9,12,o
121,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,right gear stand of Row 2,mixed,spatial|technical_name,10,12,o
122,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,red right gear stand in the triangle row,mixed,color|shape|spatial|technical_name,11,12,o
123,,SYNTHETIC_GENERATED,individual_part,Row2_GearStand_Right.stl,STAND_ROW2_RIGHT,11,right bracket of the red triangle row,mixed,color|shape|spatial|technical_name,12,12,o
124,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,the Row 2 left spur gear,technical_name,technical_name,1,11,o
125,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,the small red spur wheel,size,size|color|shape,2,11,o
126,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,the left-side gear on the shaft in the second row from Row 1,spatial,spatial|relationship,3,11,o
127,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,"the Row 2 gear next to the left red bracket, smaller than the right gear",relationship,color|spatial|size|relationship,4,11,o
128,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,the small red spur gear on the left side of the triangle-marked shaft,mixed,size|color|shape|spatial,5,11,o
129,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,the small red gear to the left of the larger red gear,mixed,size|color|shape|spatial|relationship,6,11,o
130,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,smaller gear of Row 2,mixed,size|spatial|technical_name,7,11,o
131,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,red smaller gear,mixed,color|size|technical_name,8,11,o
132,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,left gear of Row 2,mixed,spatial|technical_name,9,11,o
133,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,smaller red gear in the triangle row,mixed,size|color|shape|spatial|technical_name,10,11,o
134,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Left.stl,GEAR_ROW2_LEFT,12,triangle-row red left gear,mixed,color|shape|spatial|technical_name,11,11,o
135,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,the Row 2 right spur gear,technical_name,technical_name,1,11,o
136,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,the medium red spur wheel,size,size|color|shape,2,11,o
137,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,the right-side gear on the shaft in the second row from Row 1,spatial,spatial|relationship,3,11,o
138,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,"the Row 2 gear next to the right red bracket, larger than the left gear",relationship,color|spatial|size|relationship,4,11,o
139,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,the medium red spur gear on the right side of the triangle-marked shaft,mixed,size|color|shape|spatial,5,11,o
140,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,the larger red gear to the right of the small red gear,mixed,size|color|shape|spatial|relationship,6,11,o
141,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,larger gear of Row 2,mixed,size|spatial|technical_name,7,11,o
142,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,red larger gear,mixed,color|size|technical_name,8,11,o
143,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,right gear of Row 2,mixed,spatial|technical_name,9,11,o
144,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,larger red gear in the triangle row,mixed,size|color|shape|spatial|technical_name,10,11,o
145,,SYNTHETIC_GENERATED,individual_part,Row2_Gear_Right.stl,GEAR_ROW2_RIGHT,13,triangle-row red right gear,mixed,color|shape|spatial|technical_name,11,11,o
146,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,a Row 2 T25 Torx mounting screw,technical_name,technical_name,1,9,o
147,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,a small black screw with a recessed T25 Torx head,color,size|color|shape|technical_name,2,9,o
148,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,a screw at the base of a Row 2 gear stand,spatial,spatial|relationship,3,9,o
149,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,a fastener used to secure a Row 2 bearing stand to the baseboard,relationship,relationship|function,4,9,o
150,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,the black T25 Torx screw for the red Row 2 stand,mixed,color|spatial|technical_name|relationship,5,9,o
151,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,the Row 2 fastener tightened with a T25 driver,function,technical_name|function,6,9,o
152,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,the small black screw located at the foot of a red support bracket,mixed,size|color|shape|spatial|relationship,7,9,o
153,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,Row 2 screw,mixed,spatial|technical_name,8,9,o
154,,SYNTHETIC_GENERATED,individual_part,Row2_Screws.stl,SCREW_ROW2,14,T25 screw,technical_name,technical_name,9,9,o
155,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the Row 3 gear shaft,technical_name,technical_name,1,12,o
156,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the long green cylindrical shaft with two pin holes,shape,size|color|shape,2,12,o
157,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the shaft crossing Row 3 between the two green brackets,spatial,color|spatial|relationship,3,12,o
158,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the shaft that passes through both Row 3 bearings and carries the small and medium gears,relationship,relationship|function,4,12,o
159,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the long green hexagon-row gear shaft seated in both bearing brackets,mixed,size|color|shape|relationship,5,12,o
160,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the Row 3 shaft that carries the small and medium gears and transfers rotation between the two stands,function,function|relationship,6,12,o
161,,SYNTHETIC_GENERATED,individual_part,Row3_GearRod.stl,GEAR_ROD_ROW3,15,the long green cylindrical rod with two retaining-pin holes spanning Row 3,mixed,size|color|shape|spatial,7,12,o
